"SourceFile","BrokenLink"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\african_american.md","africana_studies_african_diaspora"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\africana_studies_civil_rights_movement.md","africana_studies_african_american"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\africana_studies_colonial_resistance.md","africana_studies_black_resistance"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\africana_studies_hub.md","key_movements"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\africana_studies_template.md","${fileName}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\ai_ethics_framework.md","afroalgorithmic_ethics"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\ai_ml_overview.md","python_overview"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\black_music_cultural_resistance.md","africana_studies_afrofuturism_speculative_thought"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\civil_rights_movement.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\digitalscorpyun_rebellion_code.md","structure_note_ai_ethics_framework"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\discourse_on_colonialism.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\free_black_communities_underground_railroad.md","underground_rr_map_clean.webp"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\george_washington_williams.md","ai_fairness"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\griotbox_feed.md","black_identity_web"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\harlem_renaissance.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\kindred.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\matamba_economic_power_ai_era.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\media_settlements_hush_money.md","white_backlash_timeline"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\nzinga_and_the_logic_of_distributed_power_in_ai_ethics.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\nzinga_diplomacy_ai_ethics.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\nzinga_reign_achievements.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\nzinga_strategic_doctrine_for_ai_ethics.md","decolonial_leadership_models"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\overview.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\personal_development_mindfulness_practice.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\queen_nzinga_mbande_1583_1663.md","africana_studies_matamba"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\reading_agent_prompt_template.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\research_papers.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\resisting_algorithmic_colonialism_nzinga_legacy.md","note_one"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\sankofa_reading_journey.md","reading_log_schema"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\structure_note_african_diaspora_themes.md","black_liberation_movement"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\structure_note_black_aesthetic_architecture.md","black_sonic_resistance"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\symbolic_vs_utilitarian_value.md","technofeudal_economic_paradigms"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\the_black_jacobins.md","${note.replace(/\.md$/, """")}"
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\the_lion_of_anacostia.md","the_lion_of_anacostia_bias_detection"
