Source,Headline
"=HYPERLINK(""https://thegrio.com/"", ""https://thegrio.com/"")","From staff cuts to aid reductions, UN humanitarian agencies scramble in wake of US funding freeze"
"=HYPERLINK(""https://thegrio.com/"", ""https://thegrio.com/"")","60 years after ‘Bloody Sunday,’ leaders say voting rights and racial equality have declined"
"=HYPERLINK(""https://thegrio.com/"", ""https://thegrio.com/"")",DC Mayor Muriel Bowser explains plans to remove Black Lives Matter street mural: ‘We have bigger fish to fry’
"=HYPERLINK(""https://thegrio.com/"", ""https://thegrio.com/"")",Entertainment
"=HYPERLINK(""https://thegrio.com/"", ""https://thegrio.com/"")",Cécred x Ulta Beauty: Beyoncé’s haircare brand expands to retail stores
"=HYPERLINK(""https://thegrio.com/"", ""https://thegrio.com/"")",Edward Enninful launches new global media and entertainment company
"=HYPERLINK(""https://www.theroot.com/"", ""https://www.theroot.com/"")",Black History Month
"=HYPERLINK(""https://www.theroot.com/"", ""https://www.theroot.com/"")",Entertainment
"=HYPERLINK(""https://www.theroot.com/"", ""https://www.theroot.com/"")",✉️Straight from The Root
"=HYPERLINK(""https://www.blackenterprise.com/"", ""https://www.blackenterprise.com/"")","18-Year-Old Hairstylist Faces Assault Charge After Dragging Client, 15, Across Floor Over Payment Dispute"
"=HYPERLINK(""https://www.blackenterprise.com/"", ""https://www.blackenterprise.com/"")",HBCU Saint Augustine’s University Loses Accreditation Appeal
"=HYPERLINK(""https://www.blackenterprise.com/"", ""https://www.blackenterprise.com/"")","Accused Tupac Killer, Keffe D, Proclaims Innocence In First TV Interview Since Vegas Arrest"
"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""https://www.huffpost.com/voices/black-voices"")",Main Menu
"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""https://www.huffpost.com/voices/black-voices"")",Entertainment
"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""https://www.huffpost.com/voices/black-voices"")",Jasmine Crockett Struck A Nerve — And Revealed This Uncomfortable Reality About DEI
"=HYPERLINK(""https://www.huffpost.com/voices/black-voices"", ""https://www.huffpost.com/voices/black-voices"")",Gabrielle Union Shares The 1 Thing That Helps Her Raise A Family
"=HYPERLINK(""https://newsone.com/"", ""https://newsone.com/"")",LA Times Nixes AI Tool That Downplayed KKK Racism
"=HYPERLINK(""https://newsone.com/"", ""https://newsone.com/"")",Trump Rails Over 'Illegal Protests' On College Campuses
"=HYPERLINK(""https://newsone.com/"", ""https://newsone.com/"")",Every Black Person Should Follow HillmanTok
"=HYPERLINK(""https://newsone.com/"", ""https://newsone.com/"")",Trump’s Anti-DEI Guidance Could Forever Change Education
"=HYPERLINK(""https://newsone.com/"", ""https://newsone.com/"")",GED Section: Why Is America Being Led By Failed Businessmen?
"=HYPERLINK(""https://newsone.com/"", ""https://newsone.com/"")",NASW Fight Against President Trump's Harmful Federal Policies
"=HYPERLINK(""https://newsone.com/"", ""https://newsone.com/"")",GOP To Get Rid Of Black Lives Matter Plaza
"=HYPERLINK(""https://andscape.com/"", ""https://andscape.com/"")",Meek Mill’s verse on Fridayy’s ‘Proud of Me’ is painfully beautiful
"=HYPERLINK(""https://andscape.com/"", ""https://andscape.com/"")",‘He was older than our fathers’: An oral history of Satchel Paige’s final game at 59
"=HYPERLINK(""https://andscape.com/"", ""https://andscape.com/"")",‘He was a legend’: An oral history of Satchel Paige’s final game at 59
"=HYPERLINK(""https://www.semafor.com/"", ""https://www.semafor.com/"")",Sudan launches case against UAE at the International Court of Justice
"=HYPERLINK(""https://www.semafor.com/"", ""https://www.semafor.com/"")",UK modern slavery cases hit record high amid global crisis
"=HYPERLINK(""https://www.semafor.com/"", ""https://www.semafor.com/"")",Dubai’s parking operators are making a fortune from fines
