Source,Destination,Action,Timestamp,Note
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\first_custom_rig_build.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\first_custom_rig_build.md",MOVED,2025-10-31T19:36:43.7658688-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\foundations_programming_terms.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\foundations_programming_terms.md",MOVED,2025-10-31T19:36:44.2502742-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\how_to_build_an_agent_digitalscorpyun_style.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\how_to_build_an_agent_digitalscorpyun_style.md",MOVED,2025-10-31T19:36:44.4932564-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\introduction_to_computers.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\introduction_to_computers.md",MOVED,2025-10-31T19:36:46.3951276-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\lion_news_scraper.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\lion_news_scraper.md",MOVED,2025-10-31T19:36:46.6249466-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\python_function_style_template.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\python_function_style_template.md",MOVED,2025-10-31T19:36:47.1621829-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\python_programming_fundamentals_glossary_ch_2.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\python_programming_fundamentals_glossary_ch_2.md",MOVED,2025-10-31T19:36:47.3581517-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\python-chapter4-exercises.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\python-chapter4-exercises.md",MOVED,2025-10-31T19:36:47.7148638-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\qwen_echo_primer.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\qwen_echo_primer.md",MOVED,2025-10-31T19:36:48.6982515-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\refactor_script_manifest.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\technology\refactor_script_manifest.md",MOVED,2025-10-31T19:36:49.3060098-07:00,""
"C:\Users\digitalscorpyun\sankofa_temple\Anacostia\free_black_communities_underground_railroad.md","C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\free_black_communities_underground_railroad.md",MOVED,2025-10-31T19:36:50.1997830-07:00,""
