SRC,DST,ACTION
africana_studies/africana_studies_black_culture_and_identity.md,africana-studies/imported_from/africana_studies/africana_studies_black_culture_and_identity.md,MOVE
africana_studies/africana_studies_black_liberation_movement.md,africana-studies/imported_from/africana_studies/africana_studies_black_liberation_movement.md,MOVE
africana_studies/africana_studies_civil_rights_movement.md,africana-studies/imported_from/africana_studies/africana_studies_civil_rights_movement.md,MOVE
africana_studies/africana_studies_cultural_frameworks.md,africana-studies/imported_from/africana_studies/africana_studies_cultural_frameworks.md,MOVE
africana_studies/africana_studies_hub.md,africana-studies/imported_from/africana_studies/africana_studies_hub.md,MOVE
africana_studies/africana_studies_overview.md,africana-studies/imported_from/africana_studies/africana_studies_overview.md,MOVE
africana_studies/africana_studies_pan_africanism_and_global_black_solidarity.md,africana-studies/imported_from/africana_studies/africana_studies_pan_africanism_and_global_black_solidarity.md,MOVE
africana_studies/african_american.md,africana-studies/imported_from/africana_studies/african_american.md,MOVE
africana_studies/african_diaspora.md,africana-studies/imported_from/africana_studies/african_diaspora.md,MOVE
africana_studies/black_music_cultural_resistance.md,africana-studies/imported_from/africana_studies/black_music_cultural_resistance.md,MOVE
africana_studies/civil_rights_movement.md,africana-studies/imported_from/africana_studies/civil_rights_movement.md,MOVE
africana_studies/diaspora_in_the_digital_age.md,africana-studies/imported_from/africana_studies/diaspora_in_the_digital_age.md,MOVE
africana_studies/early_church_schisms.md,africana-studies/imported_from/africana_studies/early_church_schisms.md,MOVE
africana_studies/george_washington_williams.md,africana-studies/imported_from/africana_studies/george_washington_williams.md,MOVE
africana_studies/harlem_renaissance.md,africana-studies/imported_from/africana_studies/harlem_renaissance.md,MOVE
africana_studies/matamba.md,africana-studies/imported_from/africana_studies/matamba.md,MOVE
africana_studies/nzinga_strategic_doctrine_for_ai_ethics.md,africana-studies/imported_from/africana_studies/nzinga_strategic_doctrine_for_ai_ethics.md,MOVE
africana_studies/overview.md,africana-studies/imported_from/africana_studies/overview.md,MOVE
africana_studies/queen_nzinga_mbande_1583_1663.md,africana-studies/imported_from/africana_studies/queen_nzinga_mbande_1583_1663.md,MOVE
africana_studies/research_papers.md,africana-studies/imported_from/africana_studies/research_papers.md,MOVE
africana_studies/resistance_through_ritual.md,africana-studies/imported_from/africana_studies/resistance_through_ritual.md,MOVE
africana_studies/resisting_algorithmic_colonialism_nzinga_legacy.md,africana-studies/imported_from/africana_studies/resisting_algorithmic_colonialism_nzinga_legacy.md,MOVE
africana_studies/ritual_and_resistance.md,africana-studies/imported_from/africana_studies/ritual_and_resistance.md,MOVE
africana_studies/sankofa_reading_journey.md,africana-studies/imported_from/africana_studies/sankofa_reading_journey.md,MOVE
africana_studies/structure_note_african_diaspora_themes.md,africana-studies/imported_from/africana_studies/structure_note_african_diaspora_themes.md,MOVE
africana_studies/structure_note_black_aesthetic_architecture.md,africana-studies/imported_from/africana_studies/structure_note_black_aesthetic_architecture.md,MOVE
africana_studies/tubman_as_a_model_for_digital_sanctuary.md,africana-studies/imported_from/africana_studies/tubman_as_a_model_for_digital_sanctuary.md,MOVE
africana_studies/tubman_counterintelligence_networks.md,africana-studies/imported_from/africana_studies/tubman_counterintelligence_networks.md,MOVE
africana_studies/black_innovators/judy_reed.md,africana-studies/imported_from/africana_studies/black_innovators/judy_reed.md,MOVE
africana_studies/conflict_analysis/nat_turner_oct7_liberation_ethics.md,africana-studies/imported_from/africana_studies/conflict_analysis/nat_turner_oct7_liberation_ethics.md,MOVE
africana_studies/history/the_scramble_for_africa.md,africana-studies/imported_from/africana_studies/history/the_scramble_for_africa.md,MOVE
africana_studies/palestinian_liberation/free_palestine_movement.md,africana-studies/imported_from/africana_studies/palestinian_liberation/free_palestine_movement.md,MOVE
africana_studies/palestinian_liberation/palestine_tech_resistance.md,africana-studies/imported_from/africana_studies/palestinian_liberation/palestine_tech_resistance.md,MOVE
africana_studies/surveillance/from_underground_to_underwatch.md,africana-studies/imported_from/africana_studies/surveillance/from_underground_to_underwatch.md,MOVE
ai_ethics/afroalgorithmic_ethics.md,ai-ml/imported_from/ai_ethics/afroalgorithmic_ethics.md,MOVE
ai_ethics/ai_fairness_trenches.md,ai-ml/imported_from/ai_ethics/ai_fairness_trenches.md,MOVE
ai_ethics/ai_ml_mathematical_modeling.md,ai-ml/imported_from/ai_ethics/ai_ml_mathematical_modeling.md,MOVE
ai_ethics/laws_41_intro_to_machine_learning.md,ai-ml/imported_from/ai_ethics/laws_41_intro_to_machine_learning.md,MOVE
ai_ethics/neural_networks.md,ai-ml/imported_from/ai_ethics/neural_networks.md,MOVE
ai_ethics/nzinga_digital_defense_data_sovereignty.md,ai-ml/imported_from/ai_ethics/nzinga_digital_defense_data_sovereignty.md,MOVE
ai_ethics/overview.md,ai-ml/imported_from/ai_ethics/overview.md,MOVE
ai_ethics/structure_note_ai_ethics_framework.md,ai-ml/imported_from/ai_ethics/structure_note_ai_ethics_framework.md,MOVE
ai_ethics/structure_note_bias_detection_framework.md,ai-ml/imported_from/ai_ethics/structure_note_bias_detection_framework.md,MOVE
ai_ethics/structure_note_social_justice_in_ai.md,ai-ml/imported_from/ai_ethics/structure_note_social_justice_in_ai.md,MOVE
ai_ethics/enterprise_agentic_case_studies/terzo_case_notes.md,ai-ml/imported_from/ai_ethics/enterprise_agentic_case_studies/terzo_case_notes.md,MOVE
community/city_maintenance.md,business/imported_from/community/city_maintenance.md,MOVE
community/noise_outreach_2025_05_07.md,business/imported_from/community/noise_outreach_2025_05_07.md,MOVE
critical_infrastructure/ai_defense_networks.md,history-political-thought/imported_from/critical_infrastructure/ai_defense_networks.md,MOVE
critical_infrastructure/china_civil_fusion.md,history-political-thought/imported_from/critical_infrastructure/china_civil_fusion.md,MOVE
critical_infrastructure/constitutional_crisis.md,history-political-thought/imported_from/critical_infrastructure/constitutional_crisis.md,MOVE
critical_infrastructure/dataview_ai_defense_dashboard.md,history-political-thought/imported_from/critical_infrastructure/dataview_ai_defense_dashboard.md,MOVE
critical_infrastructure/mermaid_military_mappings.md,history-political-thought/imported_from/critical_infrastructure/mermaid_military_mappings.md,MOVE
critical_infrastructure/project_2025_pentagon.md,history-political-thought/imported_from/critical_infrastructure/project_2025_pentagon.md,MOVE
critical_infrastructure/_meta.md,history-political-thought/imported_from/critical_infrastructure/_meta.md,MOVE
critical_infrastructure/ai_geopolitics/saudi_summit_scorpyun.md,ai-ml/imported_from/critical_infrastructure/ai_geopolitics/saudi_summit_scorpyun.md,MOVE
critical_infrastructure/visualizations/ai_militarization_battlefield.md,history-political-thought/imported_from/critical_infrastructure/visualizations/ai_militarization_battlefield.md,MOVE
critical_infrastructure/visualizations/digital_iron_curtain.md,history-political-thought/imported_from/critical_infrastructure/visualizations/digital_iron_curtain.md,MOVE
critical_infrastructure/visualizations/jadc2_doctrine.md,history-political-thought/imported_from/critical_infrastructure/visualizations/jadc2_doctrine.md,MOVE
documentation/language/vault_etymology_index.md,templates/imported_from/documentation/language/vault_etymology_index.md,MOVE
labor_history/antipodean_resistance/19th_century_great_resignation.md,africana-studies/imported_from/labor_history/antipodean_resistance/19th_century_great_resignation.md,MOVE
learning_journal/comptia_a+/comptia_a_plus_core_1_study_guide.md,personal-development/imported_from/learning_journal/comptia_a+/comptia_a_plus_core_1_study_guide.md,MOVE
learning_journal/comptia_a+/module_1/laptop_components.md,personal-development/imported_from/learning_journal/comptia_a+/module_1/laptop_components.md,MOVE
learning_journal/comptia_a+/module_1/laptop_storage.md,personal-development/imported_from/learning_journal/comptia_a+/module_1/laptop_storage.md,MOVE
learning_journal/ibm_ai_developer/ai_apps_with_python_flask.md,personal-development/imported_from/learning_journal/ibm_ai_developer/ai_apps_with_python_flask.md,MOVE
learning_journal/ibm_ai_developer/ai_ethics_foundations.md,personal-development/imported_from/learning_journal/ibm_ai_developer/ai_ethics_foundations.md,MOVE
learning_journal/ibm_ai_developer/build_genai_apps_with_python.md,personal-development/imported_from/learning_journal/ibm_ai_developer/build_genai_apps_with_python.md,MOVE
learning_journal/ibm_ai_developer/cheatsheet_js_programming_for_web_apps.md,personal-development/imported_from/learning_journal/ibm_ai_developer/cheatsheet_js_programming_for_web_apps.md,MOVE
